"","title","body"
"15","청소년 유권자, '우리가 국회의 주인입니다'","첫 투표를 하게 될 청소년 유권자들이 13일 오후 울산시의회 프레스센터에서 국민의국회 선언 기자회견을 하고 있다. 2020.2.13/뉴스1 bigpicture@news1.kr <저작권자 ⓒ..."
"16","청소년 유권자, 국민의국회 선언 기자회견","첫 투표를 하게 될 청소년 유권자들이 13일 오후 울산시의회 프레스센터에서 국민의국회 선언 기자회견을 하고 있다. 2020.2.13/뉴스1 bigpicture@news1.kr <저작권자 ⓒ..."
"17","맹성규 국회의원, 제21대 총선 남동갑 출마 선언","[대한뉴스=김원태 기자] 더불어민주당 맹성규 국회의원(인천 남동갑)은 12일 오후 인천대공원 백범 김구 선생 동상 참배를 시작으로 13일 오전 남동구 선거관리위원회에 제..."
"18","박명재 의원, 20대 국회의원 공약 완료율 1위","[포항=일요신문] 임병섭 기자 = 자유한국당 박명재 의원(포항남·울릉)이 20대 국회의원 공약 완료율 분석 결과 경북의원 중 1위(80.5%)인 것으로 나타났다. 최근 한국..."
"19","제21대 국회의원 선거 홍보 포스터","[수원=뉴시스] 김종택 기자 = 제21대 국회의원선거를 60여일 앞둔 13일 오후 경기 수원시 영통구 경기도선거관리위원회에서 관계자들이 '아름다운 선거-행복한 대한민국..."
"20","[TF포토] 문희상 국회의장 예방한 싱하이밍 주한 중국대사","[더팩트ㅣ국회=배정한 기자] 싱하이밍 주한 중국대사(왼쪽)가 13일 오전 서울 여의도 국회에서 문희상 국회의장을 예방해 인사말을 하고 있다. hany@tf.co.kr 사진영상..."
"21","[출마합니다] 허청회 전 국회 보좌관, 포천가평 국회의원 출마 선언","허청회 자유한국당 전 보좌관이 13일 포천·가평 지역구 제21대 총선 국회의원 예비후보로 등록을 마치고 본격적인 선거운동에 들어갔다. 허 예비후보는 ""포천·가평지역의..."
"22","제21대 국회의원선거 공명선거 추진 방안","오늘=박선미 기자] 의정부시는 13일 오전 7시 30분 시청 소회의실에서 ‘제21대 국회의원선거 공명선거 추진 방안’이라는 주제로 제468차 자치행정국 조찬포럼을 개최했다..."
"23","'패스트트랙 야당 폭행' 민주당 의원들 ""국회의원의 의무를 다한 것""","새벽 여야4당의 수사권조정법안을 제출하기 위해 자유한국당 당직자들이 점거하는 국회 의안과 진입을 시도하면서 몸싸움을 벌이는 모습. [연합뉴스] 지난해 4월 국회..."
"24","이삼걸 예비후보, 국회 행안위에 안동·예천 선거구 획정 건의","민주당·안동)는 13일 더불어민주당 중앙당과 더불어민주당 이인영 원내대표 그리고 국회행정안전위원회를 방문하고 지역선거구 획정에 대한 성명서를 제출했다.이번 국회..."
"25","국회 1호 청원 ""텔레그램 성범죄 막아달라""","n번방(단체방)'을 통한 성범죄를 막아달라는 목소리가 10일 10만 명의 동의를 받아 국회 '국민동원청원'의 '1호 청원'이 됐다. 해당 청원은 소관상임위인 국회 법제사법..."
"26","""마지막 기회…2월 국회서 4.3특별법 즉각 처리해야""","제주 4.3기념사업위원회는 성명을 내고 오는 17일부터 한 달동안 열리는 임시 국회에서 4.3특별법 개정이 조속히 처리될 수 있도록 도내외 정치권이 힘을 모아주길 당부..."
"27","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한 보내","[연합시민의소리]문희상 국회의장은 오는 17일에 열리는 2월 임시국회와 관련해 국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다 면서 제20대 국회의 임기가..."
"28","'텔레그램 n번방' 국회 청원에 10만 명 참여","국회 사무처는 텔레그램에서 발생하는 디지털 성범죄를 해결해달라는 내용의 국회 국민동의청원에 10만 명이 동의해 청원이 성립됐다고 밝혔습니다. 지난달 10일 국회..."
"29","국회 찾은 주한중국대사 만난 문희상 의장·이인영 원내대표","(서울=뉴스1) 임세영 기자 = 문희상 국회의장과 이인영 더불어민주당 원내대표(한중외교안보포럼 부회장)가 13일 서울 여의도 국회를 찾은 싱하이밍 주한중국대사와 인사를..."
"30","추미애 '인권침해'라는데..""국회 공소장 공개 0.001% 안된다""","공개하지 않겠다는 방침을 거듭 밝히고 있는 가운데, 정치권과 법조계에서는 “국회를 통해 언론에 공개되는 공소장은 국민적 관심 사안에 국한돼 있어 극히 일부에 불과..."
"31","임시국회 앞둔 文 의장 ""민생 법안 신속 처리하자"" 전체 의원에 주문","문희상(오른쪽) 국회의장이 지난 6일 국회 사랑재에서 열린 중소기업중앙회 임원단 초청 오찬 간담회에서 신종 코로나바이러스 예방의 일환으로 참석자들과 주먹 인사를..."
"32","국회 인터넷은행법 '표결' 가능성…케이뱅크, 기사회생 기회","[서울=뉴스핌] 김진호 기자 = 인터넷은행 특례법 개정안의 2월 임시국회 통과에 청신호가 예상된다. 국회 법제사법위원회 의원들이 계류된 해당 법안을 두고 표결에 나설 것..."
"33","여야, 국회의원 선거구 획정안 내달 5일 처리 합의","여야는 13일 4·15 총선 국회의원 선거구 획정안을 내달 5일 본회의에서 처리하기로 합의했다. 국회 행정안전위원회 더불어민주당 간사인 홍익표 의원과 자유한국당 간사인..."
"34","싱하이밍 주한 중국대사와 대화하는 문희상 국회의장","문희상 국회의장(오른쪽)이 13일 오전 서울 여의도 국회에서 의장실을 예방한 싱하이밍 주한 중국대사(왼쪽)를 만나 인사말을 하고 있다. [CBS노컷뉴스 윤창원 기자..."
"35","'새로운 제21대 국회의원 선거 포스터'","(수원=뉴스1) 조태형 기자 = 제21대 국회의원 선거를 60여 일 앞둔 13일 오후 경기도 수원시 영통구 경기도선거관리위원회에서 관계자들이 새로운 선거 홍보 포스터를 검수..."
"36","울산경찰, 국회의원 선거 단속모드 돌입","울산지방경찰청이 오는 4월 열리는 제21대 국회의원 선거와 관련, 선거사범 수사상황실을 설치하고 본격 단속에 나선다.울산경찰청은 제21대 국회의원 선거가 62일 앞으로..."
"37","‘열린국회정보포털’ 오픈...투명 국회 실현","방대한 국회 정보를 담은 온라인 플랫폼 ‘열린국회정보포털’이 이달 중 문을 엽니다. 시민들의 국회 정보 접근이 한결 수월해질 것으로 기대됩니다. 김세정 기자가..."
"38","<U+2035>통합과 상생 포럼<U+2035> 2019년도 우수 국회의원연구단체 선정","‘통합과 상생 포럼’(대표의원 조정식 국회의원)이 2월 12일 국회 사무처가 선정하는 「2019년도 우수 국회의원연구단체」에 선정(재정·경제 분야)됐다. 국회사무처는..."
"39","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한 보내","[드림저널] 문희상 국회의장은 “국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다”면서 “제20대 국회의 임기가 얼마 남지 않았다. 마지막까지 최선을 다하자..."
"40","여야 국회의원 11명, ""국민발안 원포인트 개헌"" 추진","여야 국회의원들이 4.15 총선에서 동시 국민투표를 통해 원포인트 개헌으로 국민 개헌발안권을 회복시키기 위해 ""국민발안개헌추진위원회를 구성한다고 밝혔습니다. 참여..."
"41","임시국회 시작..스타트업들, '전동킥보드 법제화' 등 4개 법안 통...","[이데일리 김현아 기자]여야가 임시국회를 2월 17일부터 3월 17일까지 30일간 열기로 합의한 가운데, 국내 최대 스타트업(초기벤처)단체인 한국스타트업포럼이 스타트업..."
"42","엄재철 예비후보 ""정치·국회 개혁 최우선""","◀ＡＮＣ▶ 남] 4·15 국회의원 선거가 두 달 앞으로 다가왔습니다. 본 방송은 유권자들의 선택을 돕기 위해 후보들이 내놓은 공약을 자세히 전해드리겠습니다. 여] 춘천..."
"43","제윤경, 20대 국회 대정부질문 우수 의원 선정","더불어민주당 제윤경 의원이 법률소비자연맹이 평가한 `20대 국회 대정부질문 우수 국회의원`에 선정됐다.입법·사법감시 법률전문 단체인 법률소비자연맹은 지난 11일 20대..."
"44","공주경찰서, 제21대 국회의원 선거상황실 운영 시작","박수빈 경찰서장을 비롯한 수사과장 및 각 과<U+30FB>계<U+30FB>팀장들이 참석한 가운데 제 21대 국회의원 선거상황실 현판식을 가졌다. 이날 선거상황실 현판식은 21대 국회의원 선거를..."
"45","국회, 선거구 획정 논의 첫발..한국 ""분구·통폐합 1곳씩"" 제안","원내대표와 자유한국당 심재철 원내대표가 2월 11일 오후 서울 여의도 국회에서 열린 2월 임시국회 의사일정 조율을 위한 여야 원내대표 회동에서 악수하고 있다. 왼쪽부터..."
"46","[국회작동법 3부]② '특권놓기 NO'..제 머리 못깎는 국회의원","----- 뉴스타파 총선기획 프로젝트 <국회작동법> 매번 ‘최악의 국회’라는 평가를 받고 있는 국회. 뉴스타파는 국회가 어떻게 작동하기에 이렇게 항상 욕을 먹는지 실상을..."
"47","국회의원에 무릎 꿇던 엄마, 정치 한복판에 뛰어들다","하늘나라로 갔지만, 아이의 이름이 새겨진 법안이 남았다. 법안 통과를 촉구하며 국회의원들을 쫓아다니며 무릎을 꿇고 눈물을 흘리던 그는 전혀 다른 삶에 도전하고 있다..."
"48","여야, 2월 임시국회 일정 합의..검역법 통과될까?","이인영 원내대표와 자유한국당 심재철 원내대표가 11일 오후 서울 여의도 국회에서 열린 2월 임시국회 의사일정 조율을 위한 여야 원내대표 회동에서 악수를 한 뒤 자리에..."
"49","'2월 임시국회' 17일 열린다..선거구 획정 논의","11일 여야가 선거구획정 논의를 위한 2월 임시국회를 오는 17일부터 30일 간 열기로 합의했다. /뉴시스 본회의 27일·내달 5일…교섭단체 대표연설 민주당 18일·한국당 19..."
"50","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한 보내","[여성종합뉴스]문희상 국회의장은 17일에 열리는 2월 임시국회와 관련해 국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다 면서 제20대 국회의 임기가 얼마 남지..."
"51","고상진 국회의원 익산시 갑 선거구 예비후보 출마","고상진 익산시 갑 선거구 국회의원 예비후보(대안신당 대변인)가 출마를 공식 선언했다.현재 대안신당의 대변인으로 활동하고 있는 고상진 예비후보가 지난 3일 익산시갑..."
"52","'일하는 국회' 되겠다더니..20대 국회 공약 이행률 46%","[서울신문]‘일하는 국회’를 만들겠다던 20대 국회의원들의 공약 이행률이 채 50%도 되지 않은 것으로 나타났다. 8일 한국매니페스토실천본부에 따르면, 지역구 국회의원..."
"53","법안 통과시키려고 자기 때린 국회의원에게 '무릎'까지 꿇은 '머...","[인사이트] 이원선 기자 = '머니게임' 고수가 토빈세 법안을 통과시키기 위해 국회의원 앞에서 무릎을 꿇었다. 지난 13일 방송된 tvN '머니게임'에서는 토빈세 통과를 위해..."
"54","'실손보험 청구 간소화' 법안 임시국회서 논의될까","청구할 수 있도록 하는 '실손보험 청구 간소화' 관련 보험업법 개정안이 20대 국회 문턱을 넘을 수 있을지 관심을 모으고 있다. 오는 17일부터 열리는 20대 국회 마지막..."
"55","김정재 국회의원, ‘특별감찰관법 개정안’ 발의","의원(자유한국당·포항 북구)은 특별감찰 대상자 확대, 대통령 배출 정당을 제외한 국회가 특별감찰관 후보자를 추천토록 하는 ‘특별감찰관법 일부개정 법률안’ 을 발의..."
"56","이재명 ""인권위, 수술실 CCTV 의무화 국회 입법 권고 환영""","이재명 경기도지사는 12일자신의 트위터를 통해 “인권위가 수술실 CCTV 의무화를 국회에 입법 권고한 것을 환영한다”고 밝혔다.ⓒ 뉴스1 (경기=뉴스1) 진현권 기자..."
"57","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한 보내","문희상 국회의장은 12일 여야 국회의원 전원에게 보낸 친전서한에서 2월 임시국회와 관련해 “국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다”면서 “제20대..."
"58","한국당 ""정의당 비례대표 통해 민노총 국회입성 움직임 포착""","투표로 정하겠다는 정의당의 방침에 발 맞춰, 민노총으로 대표되는 특권귀족노조의 국회입성 움직임이 포착되고 있다”고 밝혔다. 황 부대변인은 “지난 달 14일 심상정..."
"59","윤상현의원, 세계평화국회의원연합 총회에서 기조연설","국회 외교통일위원장으로 활동하고 있는 자유한국당 윤상현 국회의원이 세계평화국회의원연합 총회 기조연설 영상을 공개했다. 윤상현 의원은 기조연설에서 “한반도 평화를..."
"60","'제21대 국회의원 선거' 선거사범 단속대책 회의","뉴스1) 박정호 기자 = 민갑룡 경찰청장이 13일 서울 서대문구 경찰청에서 '제21대 국회의원 선거' 선거사범 단속대책 회의를 하고 있다. 경찰청은 오는 4월15일 치러질 제..."
"61","국회는 4.15총선을 통해 ‘반통일 아성’에서 ‘통일의 전당’으...","모름지기국회란백성들을대변하는민의의전당이다.여기서우리국회가백성들의의사를과연대변해왔고대변하고있는지를한번쯤은생각해볼필요가있다.우리의소원은통일,꿈에도소원은..."
"62","[국회의 시간] 박찬대 ""코로나 19는 지구의 문제…'중국 차단' 능...","【김민주 기자】내가 뽑은 국회의원이 민심을 잘 대변하고 있는지 확인해보는 [국회의 시간]. 인천 연수구갑 박찬대 의원과 함께합니다. 안녕하십니까.---● 인천 연수구갑..."
"63","[국회작동법 3부]① '최악의 국회' 데칼코마니..21대 국회는?","----- 뉴스타파 총선기획 프로젝트 <국회작동법> 매번 ‘최악의 국회’라는 평가를 받고 있는 국회. 뉴스타파는 국회가 어떻게 작동하기에 이렇게 항상 욕을 먹는지 실상을..."
"64","""무노동·무임금 원칙 실천해 신뢰받는 국회의원 되겠다""","[서울신문] 김만수 더불어민주당 부천오정 예비후보 “21대 국회에 입성해 일하는 국회, 책임지는 정치를 위해 국회의원의 3가지 특권을 포기하는 데 앞장서겠습니다.” 4월..."
"65","혁신도시 운명 가를 국회 산자위 20일 열려","대전·충남 혁신도시 지정을 위한 국회 상임위 일정이 확정되면서 법안 통과 여부에 관심이 집중되고 있다. 13일 정치권 등에 따르면 국회 산업통상자원중소벤처기업위원회..."
"66","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한","[더코리아뉴스] 조현상 기자 = 문희상 국회의장은 17일에 열리는 2월 임시국회와 관련해 국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다 면서 제20대 국회의..."
"67","[연합시론] 20대국회 마지막 일할 기회, 임시국회서 민생 챙겨야 ...","(서울=연합뉴스) 여야의 2월 임시국회 의사 일정 합의는 가뭄에 단비 같은 소식이다. 4월 총선 준비로 영일이 없겠지만 정당들이 입법 사무에 힘쓸 제20대 국회의 마지막..."
"68","“마지막 기회다. 2월 국회서 4<U+2027>3특별법 즉각 처리해야”","[일간제주]오는 2월 17일부터 3월 17일까지 30일간 2월 임기국회를 열기로 여<U+2027>야간 합의했다고 한다.2월 임시국회는 20대 국회 법안처리를 위한 사실상의 마지막 기회다..."
"69","“2월 국회서 4·3특별법 즉각 처리하라”","제주4.3기념사업위원회는 13일 성명을 내고 “2월 국회에서 4.3특별법을 즉각 처리하라”고 촉구했다. 위원회는 “2월 임시국회는 20대 국회 법안처리를 위한 사실상의..."
"70","<포토> 문희상 국회의장 예방한 싱하이밍 주한 중국대사","13일 국회의장실을 방문한 싱하이밍 주한중국대사가 문희상 국회의장, 이인영 더불어민주당 원내대표(한중외교안보포럼 부회장)와 인사를 나누고 있다. ⓒ데일리안 박항구..."
"71","청소년 유권자, '우리가 국회의 주인입니다'","첫 투표를 하게 될 청소년 유권자들이 13일 오후 울산시의회 프레스센터에서 국민의국회 선언 기자회견을 하고 있다. 2020.2.13/뉴스1 bigpicture@news1.kr <저작권자 ⓒ..."
"72","청소년 유권자, 국민의국회 선언 기자회견","첫 투표를 하게 될 청소년 유권자들이 13일 오후 울산시의회 프레스센터에서 국민의국회 선언 기자회견을 하고 있다. 2020.2.13/뉴스1 bigpicture@news1.kr <저작권자 ⓒ..."
"73","맹성규 국회의원, 제21대 총선 남동갑 출마 선언","[대한뉴스=김원태 기자] 더불어민주당 맹성규 국회의원(인천 남동갑)은 12일 오후 인천대공원 백범 김구 선생 동상 참배를 시작으로 13일 오전 남동구 선거관리위원회에 제..."
"74","박명재 의원, 20대 국회의원 공약 완료율 1위","[포항=일요신문] 임병섭 기자 = 자유한국당 박명재 의원(포항남·울릉)이 20대 국회의원 공약 완료율 분석 결과 경북의원 중 1위(80.5%)인 것으로 나타났다. 최근 한국..."
"75","제21대 국회의원 선거 홍보 포스터","[수원=뉴시스] 김종택 기자 = 제21대 국회의원선거를 60여일 앞둔 13일 오후 경기 수원시 영통구 경기도선거관리위원회에서 관계자들이 '아름다운 선거-행복한 대한민국..."
"76","[TF포토] 문희상 국회의장 예방한 싱하이밍 주한 중국대사","[더팩트ㅣ국회=배정한 기자] 싱하이밍 주한 중국대사(왼쪽)가 13일 오전 서울 여의도 국회에서 문희상 국회의장을 예방해 인사말을 하고 있다. hany@tf.co.kr 사진영상..."
"77","[출마합니다] 허청회 전 국회 보좌관, 포천가평 국회의원 출마 선언","허청회 자유한국당 전 보좌관이 13일 포천·가평 지역구 제21대 총선 국회의원 예비후보로 등록을 마치고 본격적인 선거운동에 들어갔다. 허 예비후보는 ""포천·가평지역의..."
"78","제21대 국회의원선거 공명선거 추진 방안","오늘=박선미 기자] 의정부시는 13일 오전 7시 30분 시청 소회의실에서 ‘제21대 국회의원선거 공명선거 추진 방안’이라는 주제로 제468차 자치행정국 조찬포럼을 개최했다..."
"79","'패스트트랙 야당 폭행' 민주당 의원들 ""국회의원의 의무를 다한 것""","새벽 여야4당의 수사권조정법안을 제출하기 위해 자유한국당 당직자들이 점거하는 국회 의안과 진입을 시도하면서 몸싸움을 벌이는 모습. [연합뉴스] 지난해 4월 국회..."
"80","이삼걸 예비후보, 국회 행안위에 안동·예천 선거구 획정 건의","민주당·안동)는 13일 더불어민주당 중앙당과 더불어민주당 이인영 원내대표 그리고 국회행정안전위원회를 방문하고 지역선거구 획정에 대한 성명서를 제출했다.이번 국회..."
"81","국회 1호 청원 ""텔레그램 성범죄 막아달라""","n번방(단체방)'을 통한 성범죄를 막아달라는 목소리가 10일 10만 명의 동의를 받아 국회 '국민동원청원'의 '1호 청원'이 됐다. 해당 청원은 소관상임위인 국회 법제사법..."
"82","""마지막 기회…2월 국회서 4.3특별법 즉각 처리해야""","제주 4.3기념사업위원회는 성명을 내고 오는 17일부터 한 달동안 열리는 임시 국회에서 4.3특별법 개정이 조속히 처리될 수 있도록 도내외 정치권이 힘을 모아주길 당부..."
"83","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한 보내","[연합시민의소리]문희상 국회의장은 오는 17일에 열리는 2월 임시국회와 관련해 국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다 면서 제20대 국회의 임기가..."
"84","'텔레그램 n번방' 국회 청원에 10만 명 참여","국회 사무처는 텔레그램에서 발생하는 디지털 성범죄를 해결해달라는 내용의 국회 국민동의청원에 10만 명이 동의해 청원이 성립됐다고 밝혔습니다. 지난달 10일 국회..."
"85","국회 찾은 주한중국대사 만난 문희상 의장·이인영 원내대표","(서울=뉴스1) 임세영 기자 = 문희상 국회의장과 이인영 더불어민주당 원내대표(한중외교안보포럼 부회장)가 13일 서울 여의도 국회를 찾은 싱하이밍 주한중국대사와 인사를..."
"86","추미애 '인권침해'라는데..""국회 공소장 공개 0.001% 안된다""","공개하지 않겠다는 방침을 거듭 밝히고 있는 가운데, 정치권과 법조계에서는 “국회를 통해 언론에 공개되는 공소장은 국민적 관심 사안에 국한돼 있어 극히 일부에 불과..."
"87","임시국회 앞둔 文 의장 ""민생 법안 신속 처리하자"" 전체 의원에 주문","문희상(오른쪽) 국회의장이 지난 6일 국회 사랑재에서 열린 중소기업중앙회 임원단 초청 오찬 간담회에서 신종 코로나바이러스 예방의 일환으로 참석자들과 주먹 인사를..."
"88","국회 인터넷은행법 '표결' 가능성…케이뱅크, 기사회생 기회","[서울=뉴스핌] 김진호 기자 = 인터넷은행 특례법 개정안의 2월 임시국회 통과에 청신호가 예상된다. 국회 법제사법위원회 의원들이 계류된 해당 법안을 두고 표결에 나설 것..."
"89","여야, 국회의원 선거구 획정안 내달 5일 처리 합의","여야는 13일 4·15 총선 국회의원 선거구 획정안을 내달 5일 본회의에서 처리하기로 합의했다. 국회 행정안전위원회 더불어민주당 간사인 홍익표 의원과 자유한국당 간사인..."
"90","싱하이밍 주한 중국대사와 대화하는 문희상 국회의장","문희상 국회의장(오른쪽)이 13일 오전 서울 여의도 국회에서 의장실을 예방한 싱하이밍 주한 중국대사(왼쪽)를 만나 인사말을 하고 있다. [CBS노컷뉴스 윤창원 기자..."
"91","‘국민발안개헌’ 발의…20대 국회서 추진","대표 강창일·김무성)가 11일 ‘국민발안개헌’을 골자로 한 원포인트 개헌안을 20대 국회 회기 내 발의에 나서기로 해 귀추가 주목되고 있다.국민발안개헌추진위원회와..."
"92","[오늘의 국회일정-5일]한국당 위성정당 '미래한국당' 창당","[국회 회의] 없음 [더불어민주당] *이해찬 당대표 07:30 제2차 고위당정협의회/국회 본청 당대표회의실 09:30 최고위원회의/국회 본청 당대표회의실 *이인영 원내대표 07:30..."
"93","""황교안 국회의원 후보 사퇴하고 석고대죄 하라""..'무슨 사태' 발...","보수 세력을 결집시키려는 수순의 행태임이 자명하다”면서 “황 대표는 모든 공직과 국회의원 후보직을 즉각 사퇴하고 국민들에게 석고대죄 해야 한다”고 목소리를 높였다..."
"94","강진경찰, 국회의원 선거사범 수사상황실 현판식 개최","수사과 지능범죄수사팀 사무실 앞에서 각 과장 및 직원들이 참석한 가운데 제21대 국회의원선거 대비 선거사범수사상황실 현판식을 가졌다.선거사범수사상황실은 기획반 2명..."
"95","안철수 ""21대 국회서 범야권 연대 추미애 탄핵 추진"" 총선 공약 발표","안철수 국민당(가칭) 창당준비위원장이 11일 국회 정론관에서 사법정의 혁신방안을 발표하고 있다. [사진 출처 = 연합뉴스] 안철수 국민당(가칭) 창당준비위원장이 11..."
"96","대전시장·충남지사 국회방문 균특법 통과 요청","허태정(왼쪽 두번째) 대전시장과 양승조(오른쪽 두번째) 충남지사가 6일 국회에서 이종구(가운데) 산업통상자원중소벤처기업위원장을 만나 대전, 충남 혁신도시 설치의 근거..."
"97","악수 나누는 문희상 국회의장-싱하이밍 주한 중국대사","서울=뉴스핌] 최상수 기자 = 싱하이밍 주한 중국대사(왼쪽)가 13일 오전 서울 여의도 국회에서 문희상 국회의장을 예방해 악수를 하고 있다. 2020.02.13 kilroy023@newspim.com"
"98","정운천 의원 ""탄소 소재법 개정안, 국회 통과해야""","(전주=연합뉴스) 김동철 기자 = 정운천 새로운보수당(전주을) 국회의원이 한국탄소산업진흥원 설립의 근거가 될 '탄소 소재 융복합기술 개발 및 기반 조성에 관한 법률(이하..."
"99","강창일· 김무성, 200대 국회 회기 내 원포인트 개헌안 발의 추진","[더코리아뉴스] 조현상 기자 = 20대 국회 회기 내 원포인트 개헌안 발의를 위해 국민발안개헌추진위원회(공동대표 강창일 김무성)는 11일 오후 기자회견을 통해 개헌안을..."
"100","국회 정론관 기자회견하는 지성호","1) 김명섭 기자 = 자유한국당 인재영입 1호인 지성호 나우 대표가 10일 서울 여의도 국회 정론관에서 김재원 자유한국당 2020 희망공약 개발단 단장, 인재영입 6호인 신범철..."
